Title,Abstract,Authors,Publication Year,url,Summary
Non-invasive VOCs detection to monitor the gut microbiota metabolism in-vitro.,"This work implemented a non-invasive volatile organic compounds (VOCs) monitoring approach to study how food components are metabolised by the gut microbiota in-vitro. The fermentability of a model food matrix rich in dietary fibre (oat bran), and a pure prebiotic (inulin), added to a minimal gut medium was compared by looking at global changes in the volatilome. The substrates were incubated with a stabilised human faecal inoculum over a 24-h period, and VOCs were monitored without interfering with biological processes. The fermentation was performed in nitrogen-filled vials, with controlled temperature, and tracked by automated headspace-solid-phase microextraction coupled with gas chromatography-mass spectrometry. To understand the molecular patterns over time, we applied a multivariate longitudinal statistical framework: repeated measurements-ANOVA simultaneous component analysis. The methodology was able to discriminate the studied groups by looking at VOCs temporal profiles. The volatilome showed a time-dependency that was more distinct after 12 h. Short to medium-chain fatty acids showed increased peak intensities, mainly for oat bran and for inulin, but with different kinetics. At the same time, alcohols, aldehydes, and esters showed distinct trends with discriminatory power. The proposed approach can be applied to study the intertwined pathways of gut microbiota food components interaction in-vitro.","[""Dell'Olio A; Rubert J; Capozzi V; Tonezzer M; Betta E; Fogliano V; Biasioli F""]",2024,https://pubmed.ncbi.nlm.nih.gov/38982163,non-invasive VOCs detection to monitor gut microbiota metabolism in-vitro. the study was carried out using a non-invasive approach. the method was able to discriminate the studied groups by looking at VOCs temporal profiles.
Progesterone Levels in Adolescent Female Athletes May Contribute to Decreased Cognitive Performance During Acute Phase of Sports-Related Concussion.,"Although many outcome studies pertaining to sports-related concussion exist, female athletes with concussion remain an understudied group. We examined whether neurocognitive performance in adolescent females with sports-related concussion (SRC) is related to menstrual cycle-related hormone levels measured at one-week post-concussion, one-month post-concussion, or both. Thirty-eight female athletes, ages 14-18, were matched into two groups: SRC or healthy control. Self-reported symptom scores were higher among concussed females in the luteal phase, when progesterone levels are highest. Results suggest that progesterone levels may contribute to a heightened experience of symptoms during the acute phase of SRC, providing further evidence of a possible link between progesterone and symptom scores following concussion.",['Ott S; Redell J; Cheema S; Schatz P; Becker E'],2024,https://pubmed.ncbi.nlm.nih.gov/38314752,adolescent female athletes with sports-related concussion remain an understudied group. progesterone levels may contribute to a heightened experience of symptoms.
Effect of catheter-directed ethanol sclerotherapy on ovarian reserve in patients with recurrent endometrioma: comparative analysis with primary endometriosis.,"Catheter-directed ethanol sclerotherapy (CDS) is known to less affect the ovarian function, with comparable efficacy. This study aims to investigate the change in ovarian reserve after catheter-directed ethanol sclerotherapy in patients with recurrent endometrioma, as compared to primary endometrioma. Retrospective, observational study. Electronic medical records and images of patients with endometrioma who underwent CDS from August 2014 to April 2022 at a single institution were obtained. Patients aged > 18 years old and with anti-Müllerian hormone (AMH) level between 0.8 and 10.0 with regular menstruation were enrolled. Cyst diameter, laterality, AMH level, and CA-125 level before and after 1 month, 6 months, 1 year, 2 years, and 3 years of sclerotherapy were obtained. A total of 180 patients were fit for analysis. There was no statistical difference in age and cyst size between the two groups. Mean values of AMH in each group were 3.35 in the primary group and 3.00 in the recurrent group prior to the procedure (p = 0.347). There was no significant difference in delta value of AMH after sclerotherapy in both groups at each follow-up period. Also, this result was consistent when stratified by laterality, preprocedural AMH level, and initial size of endometrioma. No case of recurrence was reported in both groups. The effect of CDS on ovarian reserve is not inferior in recurrent endometrioma compared to primary endometrioma. Since sclerotherapy is known to less deteriorate the ovarian function than surgical removal of endometrioma, clinician could consider this as the first-line therapy in patients with recurrent endometrioma. Catheter-directed ethanol sclerotherapy for patients with recurrent endometrioma has similar effect on ovarian reserve compared to patients with primary endometrioma. • Secondary surgery for endometrioma has significant deleterious effect on ovarian function. • Catheter-directed sclerotherapy (CDS) for endometrioma had equally minimal adverse effect on ovarian reserve, represented as anti-Müllerian hormone (AMH), in both primary and recurrent groups. • Physicians should consider CDS for patients with recurrent endometrioma who desire to preserve ovarian function.",['Lee JK; Han K; Choi E; Baek J; Kim HR; Kim MD; Kim H; Seo SK'],2024,https://pubmed.ncbi.nlm.nih.gov/37848771,"ethanol sclerotherapy is known to less affect the ovarian function. compared to primary endometriosis, it is known to less affect the ovarian function."
Sales Revenues for New Therapeutic Agents Approved by the United States Food and Drug Administration From 1995 to 2014.,"This study aimed to analyze worldwide sales of new therapeutic agents and to estimate the time it takes for product sales to exceed industry-wide average drug development costs. Data obtained from company reports were analyzed to track worldwide sales of new medicines approved by the US Food and Drug Administration from 1995 to 2014. All sales figures were reported in 2019 US dollars. Kaplan-Meier curves were used to evaluate the time it took for discounted product sales to exceed the average costs associated with developing 1 new drug (accounting for the costs of failed trials), using published estimates of these costs. Based on data for 361 of 558 new therapeutic agents approved over the study period (median follow-up 13.2 years), mean sales revenue per product was $15.2 billion through the end of 2019; the median was $6.7 billion. These products jointly generated global sales of $5.5 trillion since approval. Revenues were highly skewed, with the 25 best selling products (7%, 25 of 361) accounting for 38% of this amount ($2.1 trillion of $5.5 trillion). Approximately 47% of products had discounted sales that exceeded the estimated industry-wide average costs of development within 5 years of approval, and 75% within 10 years. After attributing potential production, marketing, and other costs, these numbers dropped to 21% of products within 5 years of approval, and 46% within 10 years. Sales of new medicines approved from 1995 to 2014 were highly skewed, but many products had net discounted sales that exceeded the industry-wide average costs of development within 10 years of approval. An understanding of how sales revenues accrue in the years after initial approval, alongside data on business costs, can inform discussions about how to incentivize private investment in innovation while ensuring affordable prices for patients and the healthcare system.",['Wouters OJ; Kesselheim AS; Kuha J; Luyten J'],2024,https://pubmed.ncbi.nlm.nih.gov/38977188,sales figures were reported in 2019 US dollars. sales revenue per product was $15.2 billion through the end of 2019. sales of new therapeutic agents approved from 1995 to 2014 were highly skewed.
Relationship between DMFT index and reproductive history- a cross-sectional study on enrollment phase of Azar cohort study.,"Hormonal changes in women throughout life might affect the oral health. The aim of this study is to investigate the relationship between the Decayed, Missing, and Filled Teeth (DMFT) index and reproductive history. The present cross-sectional study was performed using data of Azar Cohort Study conducted in 2014, in Shabestar city, East Azerbaijan Province, Iran. In the present study, the data of all 8294 women from the enrollment phase of the Azar cohort were included. All available data related on the variables of reproductive history (including age at the onset of menstruation, age of onset of menopause, age of first pregnancy, and frequency of pregnancy), age at interview, educational level, socioeconomic status, frequency of tooth brushing, chronic diseases, body mass index and DMFT were extracted. Negative binomial regression with loglink was used to analyze the relationship between variables. Three regression models have been applied to adjust the effect of confounding variables. Model 1 adjusted for education, socio-economic status, age, chronic diseases, body mass index and frequency of tooth brushing. Model 2 adjusted for education, socioeconomic status, age, chronic diseases and body mass index. Model 3 adjusted for education, socio-economic status and age. The mean DMFT of 8294 women was 20.99 ± 8.95. In model 1, there was no significant relationship between DMFT and frequency of pregnancy. However, model 2 and 3 showed that in women who had four or more pregnancies, the DMFT rate was significantly higher than those who did not have a history of pregnancy (P = 0.02, P = 0.04). Age at the onset of menopause, age at the onset of menstruation and age of first pregnancy had no significant relationship with DMFT in the models. Brushing less than once a day and increasing age at interview had significant relationship with DMFT in the models (P < 0.001). Despite hormonal changes through the life, the history of reproductive showed no significant relationship with women's DMFT. Oral health education for women is an important step in promoting oral health and it is necessary to pay special attention to preventive programs in oral health policy for women specially with increasing the age.",['Hefzollesan S; Sharififard N; Mahboobi Z; Faramarzi E'],2022,https://pubmed.ncbi.nlm.nih.gov/36403001,cross-sectional study was performed using data of azar cohort study. data of all 8294 women from the enrollment phase were included.
Volatile organic compounds from human skin as biomarkers of menstruation phase and severity of premenstrual syndrome: An exploratory pilot study.,"Numerous women of reproductive age experience physical or mental discomfort during their natural menstrual cycle due to paramenstrual symptoms, such as premenstrual syndrome (PMS). To date, there is no established biomarker for the diagnosis of PMS. This study investigated the relationship between skin gas composition and menstruation cycles, and evaluated the possibility of skin gas composition as a biomarker of paramenstrual symptoms. We conducted an exploratory pilot study. Healthy Japanese women (aged 20-29 years) underwent blood and skin gas analyses on 1 day corresponding to menstruation, preovulatory, middle luteal, and late luteal phases. Skin gas was collected from the cubital fossa and armpit using a Passive Flux Sampler; samples were analyzed for 65 volatile organic compounds (VOCs) by gas chromatography-mass spectrometry (GC-MS). Non-parametric statistical analysis was performed to identify VOCs related to the menstrual cycle, levels of female hormones, and severity of PMS. Fourteen women participated; of those, 12 completed the study. Regarding the relationship with the menstrual cycles, seven and four VOCs were significantly and marginally changed, respectively, at the cubital fossa during menstruation. Of those 11 compounds, 10 were also correlated with the levels of serum female hormones. At the armpit, five and three compounds were significantly and marginally changed, respectively, during menstruation. Of those eight compounds, five were also correlated with the levels of serum female hormones. In the study of PMS severity, analysis of the changes in VOCs suggested that ketones and fatty acids are increased during menstruation in the severe PMS group versus the mild PMS group. The results of this study suggest that certain VOCs emitted in skin gas related to the menstrual cycle, levels of female hormones, and severity of PMS. These findings may advance the metabolic understanding and development of diagnostic biomarkers for menstruation-related symptoms.",['Fujii T; Matsuura N; Morita Y; Morimoto K'],2023,https://pubmed.ncbi.nlm.nih.gov/37810044,a pilot study was conducted by a group of women of reproductive age. the study investigated the relationship between skin gas composition and menstruation cycles. there is no established biomarker for the diagnosis of PMS.
The prevalence of late-follicular phase progesterone elevation and impact on the ongoing pregnancy rate after fresh and frozen blastocyst transfer. Sub-study of an RCT.,"The effect of late-follicular phase progesterone elevation (LFPE) during ovarian stimulation on reproductive outcomes in ART treatment remains controversial, but recent studies indicate lower pregnancy rates with rising progesterone levels. This study aims to investigate the prevalence of late-follicular phase progesterone elevation (LFPE) and possible impact on ongoing pregnancy rate after fresh or frozen blastocyst transfer in a sub-study setting of a randomised controlled trial. A total of 288 women were included (n=137 and n=151 in the fresh transfer and freeze-all group, respectively). Among these 11(3.8%) had a progesterone level ≥1.5 ng/ml, and 20(6.9%) had a progesterone level ≥1.2 ng/ml on <i>trigger day</i>. Spline regression analysis showed no significant effect of late follicular phase progesterone levels on ongoing pregnancy. In the multivariate regression analysis (<i>n</i> = 312) only age, but not progesterone level on <i>trigger day</i> was significantly associated with ongoing pregnancy. In conclusion, in a clinical setting with moderate gonadotrophin stimulation and well-defined trigger and fresh transfer cancellation criteria, the prevalence of women with LFPE ≥1.5 ng/ml was low and did not indicate the clinical value of routine measurement of progesterone in the late follicular phase.",['Stormlund S; Sopa N; Lyng Forman J; Zedeler A; Bogstad J; Prætorius L; Nielsen HS; Klajnbard A; Englund AL; Ziebe S; Freiesleben NC; Bergh C; Humaidan P; Nyboe Andersen A; Pinborg A; Løssl K'],2024,https://pubmed.ncbi.nlm.nih.gov/38639220,study aims to investigate prevalence of late-follicular phase progesterone elevation (LFPE) during ovarian stimulation. LFPE during ovarian stimulation on reproductive outcomes in ART treatment remains controversial.
A qualitative study to develop a patient-reported outcome for dysmenorrhea.,"Dysmenorrhea refers to the experience of pelvic pain/cramps experienced by women around or during menstruation. A literature review indicated that no existing patient-reported outcome measure was adequate to support labeling claims in dysmenorrhea. Therefore, this study aimed to develop a new measure that could be used as a primary end point in dysmenorrhea clinical trials. Open-ended interviews were conducted with 52 dysmenorrhea patients, including a subset of 12 women with a comorbid pelvic pain condition (PPC). Verbatim transcripts were analyzed thematically. The findings were used to generate draft items for an electronic diary (eDiary). A further 24 dysmenorrhea patients pilot-tested the eDiary for 1-5 weeks and completed cognitive interviews to assess content validity. Revisions to the eDiary were implemented based on the findings. In the first set of interviews, 51 women (98 %) spontaneously reported pain/cramps in or around the pelvic region (abdomen, lower back, legs/upper thighs, and vaginal area). Pain experiences reported were similar across dysmenorrhea and dysmenorrhea plus PPC subgroups, except that the pelvic pain among PPC patients occurred throughout the month, not only during menstruation. All participants described the detrimental impact of dysmenorrhea on health-related quality of life. The eDiary was conceptually comprehensive and easy to complete/understand during cognitive debriefing. The resulting nine-item diary included assessment of: menstrual bleeding severity; pain severity; use of analgesics; impact on work/school, physical activities, social and leisure activities, and sleep. Psychometric validation is ongoing and will assess the reliability, validity, and responsiveness of the eDiary as a comprehensive dysmenorrhea assessment.",['Nguyen AM; Humphrey L; Kitchen H; Rehman T; Norquist JM'],2015,https://pubmed.ncbi.nlm.nih.gov/25048731,dysmenorrhea refers to pelvic pain/cramps experienced by women around or during menstruation. no existing patient-reported outcome measure was adequate to support labeling claims in dysmenorrhea.
"""I still don't know how someone gets pregnant"": determinants of poor reproductive health among young female refugees in South Africa.","Studies exploring the sexual and reproductive health (SRH) of refugee women have focused primarily on first generation refugees in humanitarian and crisis settings. There is a paucity of research exploring the reproductive health of girls and young women who are born to refugee parents in a host country or who have migrated with their parents at a very young age and who have since reached sexual maturity. We conducted a qualitative study which aimed to explore the reproductive health and rights' needs and challenges amongst young refugee women in South Africa. The study was carried out in the city of eThekwini (Durban) in South Africa in 2021 and 2022. A total of 35 semi-structured, in person interviews were conducted amongst young refugee women between the ages of 18 and 24 years living in the city centre. Twenty-five participants were 17 years or younger on arriving in South Africa, one of whom was born in South Africa. Eleven of these women had experienced one or more pregnancies while living in South Africa and all of these women had experienced at least one unintended pregnancy. Participants had poor reproductive health knowledge of the role of menstruation and how conception occurs. Economic, social, and legal insecurities intersected in complex ways as determinants of poor reproductive health outcomes. Despite availability, contraceptive use was poor and linked to lack of knowledge, myths and unwanted side effects. There were negative economic and social impacts for young refugee women experiencing early pregnancies irrespective of whether they were intended or not. Being unable to conceive or experiencing an unintended pregnancy negatively impacted sexual relationships which were entered primarily for material support. Desire for confidentiality shaped lack of access to legal termination of pregnancy in the public health sector. Participants experienced specific vulnerabilities resulting from their position as refugees despite length of stay in South Africa. It is important to better understand these specificities in the design of programmes and policies aimed at ensuring positive health outcomes for these young women. Peer education amongst refugee communities may be an important tool in the provision of culturally acceptable SRH education.",['Crankshaw TL; Freedman J; Mutambara VM; Rajah Y'],2024,https://pubmed.ncbi.nlm.nih.gov/38172790,studies exploring sexual and reproductive health of refugee women focus on first generation refugees. study aimed to explore reproductive health and rights' needs and challenges among young refugee women in south africa. twenty-five participants were 17 years or younger on arriving in south Africa.
"""Bitten By Shyness"": Menstrual Hygiene Management, Sanitation, and the Quest for Privacy in South Africa.","Little is known about how menstruation is managed in low-income settings and whether existing sanitation systems meet women's needs. Using the 'Photovoice' method with 21 women in participatory workshops and in-depth interviews, we collected data on menstrual hygiene management in three sites in Durban, South Africa. All women reported using disposable sanitary pads. Although they were aware that disposable pads were nonbiodegradable, incompatible with waterborne flush systems, and fill up pit latrines, they had little experience with reusable products. Considerable energy was devoted to concealing and containing 'menstrual waste,' and women expressed concern about inadequate privacy during menstruation. All sites lacked discreet disposal options and reliable water access, while outdoor sanitation facilities were considered unsafe. Findings highlight the need for advocacy to improve safety and privacy of facilities for women in this setting.",['Scorgie F; Foster J; Stadler J; Phiri T; Hoppenjans L; Rees H; Muller N'],2016,https://pubmed.ncbi.nlm.nih.gov/26436841,women reported using disposable sanitary pads. women expressed concern about inadequate privacy during menstruation. women expressed concerns about inadequate sanitation facilities.
Mediterranean Diet Combined With a Low-Carbohydrate Dietary Pattern in the Treatment of Overweight Polycystic Ovary Syndrome Patients.,"To determine the therapeutic effect of a Mediterranean diet (MED) combined with a low-carbohydrate (LC) dietary model in overweight polycystic ovary syndrome (PCOS) patients. In this 12-week randomized controlled clinical trial, 72 overweight patients with PCOS were randomly assigned to one of two energy-restricted dietary models: the MED/LC diet or the Low fat (LF) diet. After the intervention, the number of the two groups returned to normal menstruation was counted. Body weight, body mass index (BMI), waist circumference, waist-hip ratio (WHR), body fat percentage (BF%), serum fasting insulin(FINS), fasting plasma glucose(FPG), insulin resistance index (HOMA-IR), quantitative insulin sensitivity index (QUIKI), total cholesterol (TC) and high density lipoprotein cholesterol (HDL-C), low density lipoprotein cholesterol (LDL-C), triglyceride (TG), total testosterone (TT), luteinizing hormone (LH), follicle-stimulating hormone (FSH), and prolactin (PRL) were compared between 2 groups before and after intervention. MED/LC group had more significant reduction trend in weight (-6.10 ± 1.52 kg vs -4.79 ± 0.97 kg, <i>P</i> < 0.05), BMI (-2.12 ± 0.57 kg/m<sup>2</sup> vs -1.78 ± 0.36 kg/m<sup>2</sup>, <i>P</i> < 0.05), WC (-6.12 ± 5.95 cm vs -3.90 ± 1.58 cm, <i>P</i> < 0.05), WHR (-0.06 ± 0.02 vs -0.03 ± 0.02, <i>P</i> < 0.05), BF% (-2.97% ± 1.78% vs -1.19% ± 0.91%, <i>P</i> < 0.05), TT (-0.20 ± 0.24 ng/mL vs 0.08 ± 0.11 ng/Ml, <i>P</i> < 0.001), LH (-5.28 ± 3.31 mIU/mL vs -3.39 ± 3.64 mIU/mL, <i>P</i> < 0.05), and LH/FSH (-1.18 ± 0.75 vs -0.66 ± 1.05, <i>P</i> < 0.05) compared with the LF group. In addition, FPG (0.05 ± 0.38 mmol/mL vs -0.50 ± 1.01 mmol/mL, <i>P</i> < 0.001), FINS (-4.88 ± 6.11 μU/mL vs -8.53 ± 5.61 μU/mL, <i>P</i> < 0.01), HOMA-IR index (-1.11 ± 1.51 vs -2.23 ± 0.25, <i>P</i> < 0.05), and QUIKI index (0.014 ± 0.016 vs 0.028 ± 0.019, <i>P</i> < 0.05) decreased significantly in the MED/LC group compared with the LF group. Comparing the changes in lipid parameters between the two groups (LF vs MED/LC), significant differences in TG (-0.33 ± 0.32 mmol vs -0.76 ± 0.97 mmol, <i>P</i> < 0.05), TC (-0.40 ± 1.00 mmol vs -1.45 ± 2.00 mmol, <i>P</i> < 0.05), and LDL-C (-0.41 ± 1.05 mmol vs -0.73 ± 0.76 mmol, <i>P</i> < 0.05) were observed. The results of this study suggest that the MED/LC diet model is a good treatment for overweight PCOS patients, significantly restoring their menstrual cycle, improving their anthropometric parameters and correcting their disturbed endocrine levels, and its overall effectiveness is significantly better than the LF diet model. Therefore, this study recommends that the MED/LC diet model can be used in the clinical treatment of patients with overweight PCOS.",['Mei S; Ding J; Wang K; Ni Z; Yu J'],2022,https://pubmed.ncbi.nlm.nih.gov/35445067,"a Mediterranean diet (MED) combined with a low-carbohydrate (LC) dietary model was used in overweight polycystic ovary syndrome patients. 72 overweight patients with PCOS were randomly assigned to one of two energy-restricted dietary models. after the intervention, the number of the two groups returned to normal menstruation was counted."
Dysmenorrhea: Prevalence and Impact on Quality of Life among Young Adult Jordanian Females.,"To establish the prevalence and impact on quality of life of dysmenorrhea among young adult Jordanian females. Cross-sectional study based on quantitative self-reported anonymous questionnaire. University-based study. A total of 272 female medical students (aged 19-25 years). None. Self-reports of menstruation-related pain symptoms and methods of dealing with them. Of study subjects 152/272 (55.8%) participants had moderate and severe dysmenorrhea. Of them, 55.8% had a family history of severe dysmenorrhea compared with 33.1% of those without dysmenorrhea (χ2 = 13.40, df = 1, P < .001). There was strong association between severity of dysmenorrhea and poor university attendance (χ(2) = 45.35, df = 2, P < .001), poor social activities (χ2 = 32.06, df = 2, P < .001), poor relationships with family (χ2 = 18.46, df = 2, P < .001) and friends (χ2 = 19.14, df = 2, P < .001), and poor sport activities (χ2 = 12.15, df = 2, P = .002). Dysmenorrhea worsens during examination periods in 50% of cases. The most common pain symptom was low back pain (60.2%). Body mass index, family monthly income and early age at menarche had no correlation with the occurrence of dysmenorrhea. Of those with dysmenorrhea, 69.4% were using analgesics. Mothers were the main source of information regarding menstruation. Dysmenorrhea is highly prevalent among young adult Jordanian females and seems to negatively affect quality of life, particularly as related to university attendance and performance and social relationships.",['Al-Jefout M; Seham AF; Jameel H; Randa AQ; Ola AM; Oday AM; Luscombe G'],2015,https://pubmed.ncbi.nlm.nih.gov/26046607,dysmenorrhea worsens during examination periods in 50% of cases. most common pain symptom was low back pain (60.2%).
The spatial organization of ascending auditory pathway microstructural maturation from infancy through adolescence using a novel fiber tracking approach.,"Auditory perception is established through experience-dependent stimuli exposure during sensitive developmental periods; however, little is known regarding the structural development of the central auditory pathway in humans. The present study characterized the regional developmental trajectories of the ascending auditory pathway from the brainstem to the auditory cortex from infancy through adolescence using a novel diffusion MRI-based tractography approach and along-tract analyses. We used diffusion tensor imaging (DTI) and neurite orientation dispersion and density imaging (NODDI) to quantify the magnitude and timing of auditory pathway microstructural maturation. We found spatially varying patterns of white matter maturation along the length of the tract, with inferior brainstem regions developing earlier than thalamocortical projections and left hemisphere tracts developing earlier than the right. These results help to characterize the processes that give rise to functional auditory processing and may provide a baseline for detecting abnormal development.",['Lynch KM; Bodison SC; Cabeen RP; Toga AW; Voelker CCJ'],2024,https://pubmed.ncbi.nlm.nih.gov/38915661,the ascending auditory pathway microstructural maturation from infancy through adolescence. the region of the ascending auditory pathway is characterized by experience-dependent stimuli exposure during sensitive developmental periods.
Creatine Promotes Endometriosis by Inducing Ferroptosis Resistance via Suppression of PrP.,"Endometriosis, a chronic inflammatory disease, significantly impairs the quality of life of women in their reproductive years; however, its pathogenesis remains poorly understood. The accumulation of retrograde menstruation and recurrent bleeding fosters a high-iron environment in ectopic lesions, triggering ferroptosis in ectopic endometrial stromal cells (EESCs), thereby hindering the establishment of endometriosis. However, abnormal EESCs demonstrate resistance to ferroptosis in high-iron environments, promoting the progression of this disease. Here, novel findings on the accumulation of creatine, derived from endogenous synthesis, in both peritoneal fluid and EESCs of patients with endometriosis are presented. Creatine supplementation reduces cellular iron concentrations, mitigating oxidative stress and lipid peroxidation, thereby enhancing cell viability and preventing ferroptosis under high-iron conditions. Utilizing the drug affinity-responsive target stabilization (DARTS) assay, prion protein (PrP) as a potential creatine-sensing protein is identified. Mechanistically, creatine binds to the active site of PrP, inhibits the conversion of trivalent iron to divalent iron, and decreases iron uptake, promoting the tolerance of EESCs to ferroptosis. This interaction contributes to the development of endometriosis. The novel association between creatine and ferroptosis provides valuable insights into the role of creatine in endometriosis progression and highlights its potential as a therapeutic target for endometriosis.",['Chen S; Ma X; Liu Y; Zhong Z; Wei C; Li M; Zhu X'],2024,https://pubmed.ncbi.nlm.nih.gov/39119937,Creatine promotes endometriosis by promoting Ferroptosis Resistance via Suppression of PrP. ectopic lesions triggered ferroptosis in high-iron environments. a prion protein (PrP) is a potential creatine-sensing protein.
"Efficacy and Safety of Ganyushu Granule in Treatment of Premenstrual Syndrome with Gan (Liver) Depression and Qi Stagnation Syndrome: A Randomized, Double-Blind, Multi-Center, Phase-II Clinical Trial.","To confirm the efficacy and safety of Ganyushu Granule (GYSG) in treating premenstrual syndrome (PMS) in patients with Gan (Liver) depression and qi stagnation syndrome (GDQSS) and determine its effective dosage. From June 2018 to March 2021, a total of 240 PMS women with GDQSS were included and randomly divided into 3 groups in a 1:1:1 ratio using central block randomization: high-dose GYSG group (n=78, GYSG 2 packs/time), low-dose GYSG group (n=82, GYSG and its simulant 1 pack/time), and placebo group (n=80, GYSG simulant 2 packs/time). Treatment with GYSG or placebo was given thrice daily and for up to 3 menstrual cycles. Primary outcomes were PMS diary (PMSD) score and premenstrual tension syndrome self-rating scale (PMTS). Secondary outcomes were Chinese medicine (CM) syndrome efficacy. PMSD, PMTS, and efficacy of CM were evaluated with menstrual cycles during the treatment period. Outcome indicators were analyzed after each menstrual cycle. All analyses were performed using an intention-to-treat method, and clinical safety was assessed. Of the 216 patients included in the effectiveness analysis, 70, 75, and 71 patients were in the high-, low-dose GYSG, and placebo groups, respectively. From the 2nd treatment cycle, the change in PMSD scores in the high- and low-dose groups was lower than that in the placebo group (P<0.05). PMTS scores in the high-dose GYSG group after the 1st treatment cycle was lower than that in the placebo group (P<0.05), while after the 3rd treatment cycle, that in the low-dose group was lower than that in the placebo group (P<0.05). After the 2nd treatment cycle, the high-dose GYSG group had the best CM syndrome efficacy (P<0.05). No serious adverse reactions were reported. GYSG was safe and well-tolerated at both doses for treating PMS patients with GDQSS. High-dose GYSG might be the optimal dose for a phase III trial. (Registration No. ChiCTR1800016595).",['Teng XX; Xu LW; Lin J; Zhang JF; Zhang Q; Sun Y; Yang DF; Li HM; Zhao P; Liu J'],2024,https://pubmed.ncbi.nlm.nih.gov/38907069,Ganyushu Granule was given thrice daily and for up to 3 menstrual cycles. treatment with GDQSS was randomly divided into 3 groups. primary outcomes were PMSD score and premenstrual tension syndrome self-rating scale.
Iron-deficiency Anemia Treatment with Ferric Carboxymaltose: A Real-world Quasi-experimental Study from Bangladesh.,"Gastrointestinal bleeding is the most common cause of iron deficiency in adult men and menstrual blood loss is the leading cause of iron insufficiency in women, anemia due to iron deficiency is mostly caused by blood loss. Ferric carboxymaltose (FCM) is a contemporary parenteral iron formulation that may be used therapeutically to treat anemia caused by an iron deficiency [iron-deficiency anemia (IDA)]. The main goal of the trial was to evaluate FCM's safety and efficacy in treating IDA. The Department of Hematology, Rajshahi Medical College Hospital, Rajshahi, Bangladesh participated in this quasi-experimental research, which comprised adult patients with IDA. Participants were given an intravenous (IV) infusion of 500 mg of FCM, diluted in 100 mL of 0.9% normal saline, throughout a 30-minute period after their participation. The second dosage of FCM was administered after a 7-day period of the first dose. The comparison of the outcomes [hemoglobin (Hb) level, serum ferritin level, and other hematological parameters] between the baseline and day 14 postintervention was done using a paired <i>t</i>-test. Compared to baseline, patients' Hb levels rose considerably (<i>p</i> = 0.001) after FCM. Aside from serum ferritin level, additional hematological parameters that sharply increased were red blood cells (RBCs) count, mean corpuscular volume (MCV), mean corpuscular hemoglobin concentration (MCHC), red cell distribution width - coefficient of variation (RDW-CV), and iron indicators. The experiment recorded mild adverse effects such as fever, headaches, and gastrointestinal issues including vomiting, diarrhea, and constipation, but no significant adverse events. In summary, IDA may be effectively treated with FCM, a safe and secure IV medication that has no major negative effects. Miah MMZ, Pramanik MEA, Rafi A, <i>et al</i>. Iron-deficiency Anemia Treatment with Ferric Carboxymaltose: A Real-world Quasi-experimental Study from Bangladesh. Euroasian J Hepato-Gastroenterol 2024;14(1):12-15.",['Miah MMZ; Pramanik MEA; Rafi A; Akhter M'],2024,https://pubmed.ncbi.nlm.nih.gov/39022215,a real-world study from Bangladesh analyzed the effects of Ferric carboxymaltose. the study was conducted by the department of Hematology. the study was conducted by a paired i>t/i>-test.
"Low and High-Normal <i>FMR1</i> Triplet Cytosine, Guanine Guanine Repeats Affect Ovarian Reserve and Fertility in Women Who Underwent <i>In Vitro</i> Fertilization Treatment? Results from a Cross-Sectional Study.","Dynamic mutations in the 5' untranslated region of <i>FMR1</i> are associated with infertility. Premutation alleles interfere with prenatal development and increase infertility risks. The number of CGG repeats that causes the highest decrease in ovarian reserves remains unclear. We evaluated the effect of <i>FMR1</i> CGG repeat lengths on ovarian reserves and <i>in vitro</i> fertilization (IVF) treatment outcomes in 272 women with alleles within the normal range. <i>FMR1</i> CGG repeat length was investigated via PCR and capillary electrophoresis. Alleles were classified as low-normal, normal, and high-normal. Serum levels of follicle-stimulating hormone and anti-Mullerian hormone (AMH) in the follicular phase of the menstrual cycle were measured, and antral follicles (AFC) were counted. IVF outcomes were collected from medical records. Regarding <i>FMR1</i> CGG repeat length alleles, 63.2% of women presented at least one low-normal allele. Those carrying low-normal alleles had significantly lower AMH levels than women carrying normal or high-normal alleles. Low-normal/low-normal genotype was the most frequent, followed by low-normal/normal and normal/normal. A comparison of ovarian reserve markers and reproductive outcomes of the three most frequent genotypes revealed that AFC in the low-normal/normal genotype was significantly lower than the low-normal/low-normal genotype. The low number of <i>FMR1</i> CGG repeats affected AMH levels and AFC but not IVF outcomes per cycle of treatment.",['Nunes ACV; Trevisan CM; Peluso C; Loureiro FA; Dias AT; Rincon D; Fonseca FLA; Christofolini DM; Laganà AS; Montagna E; Barbosa CP; Bianco B'],2024,https://pubmed.ncbi.nlm.nih.gov/38888596,"i>FMR1/i> triplet Cytosine, Guanine Guanine Repeats Affect Ovarian Reserve and Fertility in women who underwent i>in vitro/i> Fertilization treatment? 63.2% of women with alleles within the normal range were classified as low-normal, normal, and high-normal."
